Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump,State
65b0fbe268db2abc029c86b521ce19caaffc535b,aug,2017,cool,auto,Long Beach,720.9227053,719.942029,706.1545894,10,FALSE,FALSE,TRUE,MS
65b0fbe268db2abc029c86b521ce19caaffc535b,aug,2017,cool,hold,Long Beach,723.2048507,727.8033582,727.8033582,10,FALSE,FALSE,TRUE,MS
65f367c106b904ddd671f425a3c36977131fa681,aug,2017,cool,auto,Madison,710.7607362,707.9325153,726.4969325,10,FALSE,FALSE,FALSE,MS
65f367c106b904ddd671f425a3c36977131fa681,aug,2017,cool,hold,Madison,715.6993007,713.9440559,713.986014,10,FALSE,FALSE,FALSE,MS
672fa5ee761e162b136a90be515a2b380e5567a9,aug,2017,auto,auto,Ocean Springs,759.7916667,760,660,20,TRUE,FALSE,FALSE,MS
672fa5ee761e162b136a90be515a2b380e5567a9,aug,2017,cool,auto,Ocean Springs,742.7506925,744.8393352,706.1163435,20,TRUE,FALSE,FALSE,MS
672fa5ee761e162b136a90be515a2b380e5567a9,aug,2017,cool,hold,Ocean Springs,744.8548387,747.016129,746.7741935,20,TRUE,FALSE,FALSE,MS
673f8684c886b7660bdaff9893ddc20ecdb2f463,aug,2017,cool,hold,Corinth,716.4791667,710,710,25,FALSE,FALSE,FALSE,MS
6958304af4064a7f1e351b21c0ee3d85f30d02cb,aug,2017,auto,auto,Oxford,703.4068441,702.4714829,642.2129278,5,FALSE,FALSE,FALSE,MS
6958304af4064a7f1e351b21c0ee3d85f30d02cb,aug,2017,auto,hold,Oxford,716.4670051,717.6142132,640.1116751,5,FALSE,FALSE,FALSE,MS
6d4c10f6981eec9b9195fa7147e94c43447a3a65,aug,2017,auto,auto,Hernando,736.3614458,732.1686747,680.8554217,5,FALSE,FALSE,FALSE,MS
6d4c10f6981eec9b9195fa7147e94c43447a3a65,aug,2017,auto,hold,Hernando,730.0695187,726.315508,672.3850267,5,FALSE,FALSE,FALSE,MS
6d728d7c98a06ec89e9dd3470a0abc1d0560c6c8,aug,2017,auto,hold,Clinton,730.7345361,718.3659794,662.7216495,10,FALSE,FALSE,TRUE,MS
725b8b8d75e52b1e55d70e10edc515fb30816517,aug,2017,cool,auto,Olive Branch,739.8670254,749.9861645,650.055342,15,TRUE,FALSE,FALSE,MS
725b8b8d75e52b1e55d70e10edc515fb30816517,aug,2017,cool,hold,Olive Branch,741.1666667,730,730,15,TRUE,FALSE,FALSE,MS
74dbbbb51e8b011a771460545abaf9ba3690b807,aug,2017,cool,auto,Starkville,723.7320442,736.5635359,739.0828729,0,FALSE,FALSE,FALSE,MS
74dbbbb51e8b011a771460545abaf9ba3690b807,aug,2017,cool,hold,Starkville,724.6881468,730.505174,730.1227658,0,FALSE,FALSE,FALSE,MS
77045d611c3cf60d028145a458d955bd64f29192,aug,2017,cool,hold,Biloxi,741.0812325,728.3445378,727.3109244,15,FALSE,FALSE,FALSE,MS
782aa187364048e83a195c76583bda416532d39d,aug,2017,cool,hold,Madison,682.8623853,730.8623853,729.4036697,25,FALSE,FALSE,FALSE,MS
782aa187364048e83a195c76583bda416532d39d,aug,2017,heat,hold,Madison,707.3333333,750,750,25,FALSE,FALSE,FALSE,MS
79271f6f2d494127546996532387e8473e91beef,aug,2017,cool,hold,Hernando,726.1,724.2333333,723.0333333,5,FALSE,FALSE,TRUE,MS
7a2235db1ab86797886b3e2e4f51ebaf6bb92565,aug,2017,cool,auto,Mooreville,736.7736014,736.6223776,740.0917832,0,FALSE,FALSE,TRUE,MS
