Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump,State
b17ef9aa6b344f9ab7c7d4a7b04e0e52565132f3,aug,2017,heat,auto,Milton,753.5,727.5,673,10,FALSE,FALSE,FALSE,DE
b17ef9aa6b344f9ab7c7d4a7b04e0e52565132f3,aug,2017,heat,hold,Milton,756,690,683,10,FALSE,FALSE,FALSE,DE
b7700aa6c467694f28b83690983d25a58dee0c94,aug,2017,cool,auto,Wilmington,763.4737319,767.6793478,680,45,FALSE,FALSE,FALSE,DE
b7700aa6c467694f28b83690983d25a58dee0c94,aug,2017,cool,hold,Wilmington,742.0424967,764.2815405,764.2815405,45,FALSE,FALSE,FALSE,DE
be63ad14daacf32f56885fb8044cc3bfbaa308ef,aug,2017,cool,auto,Newark,748.3393728,775.2843206,686.0634146,60,FALSE,FALSE,FALSE,DE
be63ad14daacf32f56885fb8044cc3bfbaa308ef,aug,2017,cool,hold,Newark,733.5343511,758.4580153,757.5114504,60,FALSE,FALSE,FALSE,DE
be63ad14daacf32f56885fb8044cc3bfbaa308ef,aug,2017,heat,auto,Newark,725.6666667,777.6666667,649.3333333,60,FALSE,FALSE,FALSE,DE
be63ad14daacf32f56885fb8044cc3bfbaa308ef,aug,2017,heat,hold,Newark,736.6666667,790,790,60,FALSE,FALSE,FALSE,DE
c9c0cbe0ff333388b6c45df3a06ec1d707f372aa,aug,2017,auto,hold,Townsend,691.0628571,700.68,624.0971429,10,FALSE,FALSE,FALSE,DE
d90de80fbfc586b72b80946294a9f3c88e052572,aug,2017,auto,auto,Newark,741.0711382,740,670,0,FALSE,FALSE,FALSE,DE
d90de80fbfc586b72b80946294a9f3c88e052572,aug,2017,auto,hold,Newark,728.9741715,730,670,0,FALSE,FALSE,FALSE,DE
d9c2a9a0efed7e21cd5774c78067eb7b94fd883e,aug,2017,cool,hold,Hockessin,774.691358,811.7654321,787.4938272,27,FALSE,FALSE,FALSE,DE
db656e3701d940826b8b2f0af8a139746e7effc7,aug,2017,cool,auto,Ocean View,746.3656958,751.8446602,735.5339806,15,TRUE,FALSE,TRUE,DE
db656e3701d940826b8b2f0af8a139746e7effc7,aug,2017,cool,hold,Ocean View,744.2,760,760,15,TRUE,FALSE,TRUE,DE
e1d0e7745fb8ca0ba9780a576a110604b08d59e5,aug,2017,cool,auto,Milton,768.7735192,786.3850174,667.6829268,15,FALSE,FALSE,FALSE,DE
e1d0e7745fb8ca0ba9780a576a110604b08d59e5,aug,2017,cool,hold,Milton,781.6842105,799.8947368,709.8421053,15,FALSE,FALSE,FALSE,DE
