Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump,State
3dcfd04e17b523da0369de9c55c4d110d53ded97,aug,2017,cool,auto,Lexington,717,731.5,647.5,30,FALSE,FALSE,TRUE,KY
3dcfd04e17b523da0369de9c55c4d110d53ded97,aug,2017,cool,hold,Lexington,734.6234214,738.8427095,738.7049369,30,FALSE,FALSE,TRUE,KY
40852a69f896d45a3992f7a6c5ce1643285c6fdc,aug,2017,auto,auto,Owensboro,746,738,688,17,FALSE,FALSE,FALSE,KY
40852a69f896d45a3992f7a6c5ce1643285c6fdc,aug,2017,auto,hold,Owensboro,748.2035398,749.1858407,697.1238938,17,FALSE,FALSE,FALSE,KY
41f88f5282ebbec416a7f21ea99c4ffafdeb99b3,aug,2017,auto,auto,Louisville,730.5320513,728.4335664,676.1538462,0,FALSE,FALSE,FALSE,KY
4284679b5227cba5461e3ebea0d6bcbd4b44eca8,aug,2017,auto,auto,Bowling Green,748.4197208,748.9192845,690,5,FALSE,FALSE,TRUE,KY
4284679b5227cba5461e3ebea0d6bcbd4b44eca8,aug,2017,auto,hold,Bowling Green,773.9263566,792.4418605,690,5,FALSE,FALSE,TRUE,KY
441f78bdc893c61cc6bf174cf95fea1fe597fc91,aug,2017,cool,auto,Louisville,740.6944444,740,730,90,FALSE,FALSE,FALSE,KY
441f78bdc893c61cc6bf174cf95fea1fe597fc91,aug,2017,cool,hold,Louisville,738.0903562,736.196351,736.1637706,90,FALSE,FALSE,FALSE,KY
44b868914d8a40ad21062476e3ad2f7241e0426d,aug,2017,cool,auto,Riverwood,731.0770128,739.7327888,623.2403734,55,FALSE,FALSE,FALSE,KY
44b868914d8a40ad21062476e3ad2f7241e0426d,aug,2017,cool,hold,Riverwood,759.6049383,769.5061728,749.7530864,55,FALSE,FALSE,FALSE,KY
44f75474f907a6e24bca9ee8ae38f1f569384330,aug,2017,cool,auto,Lexington,718.7633712,719.2341977,719.0388979,40,TRUE,FALSE,TRUE,KY
44f75474f907a6e24bca9ee8ae38f1f569384330,aug,2017,cool,hold,Lexington,726.4554154,728.7990431,728.8116572,40,TRUE,FALSE,TRUE,KY
451847f094da2c38aa8e5dc6f299c08079297e46,aug,2017,cool,hold,Lexington,690.9770254,693.8621524,693.6723096,10,FALSE,FALSE,TRUE,KY
468c31457309cef9a0aa0c1c8c252c9764d8801e,aug,2017,cool,auto,Louisville,712.5441501,707.3543046,709.5706402,0,FALSE,FALSE,FALSE,KY
468c31457309cef9a0aa0c1c8c252c9764d8801e,aug,2017,cool,hold,Louisville,721.9459613,717.4806598,717.4203641,0,FALSE,FALSE,FALSE,KY
468f7a1aa23eb6589b73b8c33d3c110cf197de2a,aug,2017,auto,auto,Corbin,733.8910682,733.3720579,652.8059747,0,FALSE,FALSE,TRUE,KY
468f7a1aa23eb6589b73b8c33d3c110cf197de2a,aug,2017,auto,hold,Corbin,742.5802469,740,650,0,FALSE,FALSE,TRUE,KY
