AvgTempCtrl,AvgCool,AvgHeat,Identifier,Country,ProvinceState,Age_of_Home__years_,Climate,CalendarEvent
741.29292929292933,770.0,680.0,1471ebc59a4c64e8b8f342ad5fe4c9e87b56085b,US,MI,46,Home,auto
716.19791666666663,740.0,660.0,b189c82dda61d600da6698732c2b14455b9a15f9,US,MI,50,Home,auto
745.984375,779.921875,679.9375,398b56b8a30806c7cdca2198c832d6776fee6b2e,US,MI,47,Home,auto
788.63888888888891,760.02777777777783,680.36111111111109,2ad5826064172ca49eef4682793678f0de3a8309,US,MO,50,Home,auto
705.0625,700.43229166666663,701.77604166666663,746cbdc7cffe9590e9b6657ba7e2ddaad411dd77,US,MO,50,Home,auto
735.98214285714289,735.202380952381,713.72023809523807,80fdd8d5887de85d7f67162b53a22c6f292b5135,US,MO,50,Home,auto
721.70212765957444,720.32978723404256,740.0,9db09b9fe1b404484f9023122930605fc00bc388,US,MO,50,Home,auto
731.23529411764707,730.0,740.0,2dd2f52c5d516d7274953f6e048303085ffd6b3b,US,MO,50,Home,auto
732.11111111111109,690.0,690.0,e565050ffeaead0075e66754c8a977a2a1524424,US,MO,50,Home,auto
743.780487804878,741.219512195122,600.0,1bd4536ffa0d178eade84cf210bfe13c3c383cb3,US,MS,47,Home,auto
752.70512820512818,755.38461538461536,600.0,a5945eef34e82b7b6c1b9e36a02ae23e2da6646f,US,MS,47,Home,auto
701.03846153846155,700.76923076923072,621.23076923076928,da863ce85fff4e32b3c75db599a340d8055d98e4,US,NC,50,Home,auto
718.5,718.93181818181813,680.0,7296d3d3ef46c7c2874a14b297685b83cb79db16,US,NC,47,Home,auto
762.38095238095241,819.21428571428567,640.52380952380952,b442fc12b28b8af1177d2b0631f5d2775119cb07,US,NC,50,Home,auto
748.88571428571424,750.0,700.0,159d9ff198c0b10984f79440695a5919cb1b50bf,US,NC,47,Home,auto
749.68571428571431,726.01428571428573,694.3,585eee9d05d8bb712b144eab0525058faedde3b6,US,NJ,47,Home,auto
697.66666666666663,700.0,700.0,e12f2bbd3ae2a7369dd8b03ffd96a5e665bb3791,US,NJ,50,Home,auto
747.304347826087,748.63043478260875,658.67391304347825,6e24b5d022f9b4ad5e5b2eed4006b15a61c7c741,US,NJ,50,Home,auto
775.92361111111109,780.0,680.0,9f8aa6174331fcab7e03ce26a7207c238c5cc7be,US,NJ,50,Home,auto
750.65714285714284,750.62857142857138,736.052380952381,2aa6414da36a2525d14a9558312566818161044a,US,NJ,50,Home,auto
743.62758620689658,777.84827586206893,682.15172413793107,7318e078f87e016d9ae71ff9ab408e4166d29457,US,NJ,46,Home,auto
750.92173913043473,772.8,680.0,fca2037b772c2d41e5b8f46ab0b2c84d6e8824da,US,NJ,50,Home,auto
753.952380952381,751.14285714285711,700.0,c811fc787809437ce4f2f012d3c641c872395867,US,NJ,50,Home,auto
714.0,711.0,680.0,015d5e26149f0a640f06bd76f7426f6b1e5c82f2,US,NJ,50,Home,auto
727.62745098039215,720.0,730.0,e55e9bca3a0d4922fa5a01a93736d9e1651580fd,US,NJ,50,Home,auto
741.76470588235293,740.0,730.0,1643381d11b8cc1355840123e8690b1d9413b6c2,US,NJ,50,Home,auto
767.12962962962968,750.0,690.0,47de93f02454aaf9248254f42a78baff48d0aae5,US,NV,46,Home,auto
742.2,757.1,694.75,09db4028c2b69451eb2d857fd6a98ffac6972ce7,US,NY,50,Home,auto
723.83333333333337,650.0,620.0,a6f8d1cb883902039b02e9639f02d438b616fb33,US,NY,50,Home,auto
733.09523809523807,730.28571428571433,680.0,2b43efc43e054ab3dbd5beab349248c0fd9afc45,US,NY,50,Home,auto
686.31111111111113,685.44444444444446,650.26666666666665,0cdcacd5d6b773148812ff55a991e5382e4a63d9,US,NY,47,Home,auto
771.75,760.0,660.0,b2127b040d51a242a6dfc574334fe0415e6de0d8,US,NY,46,Home,auto
762.77777777777783,762.66666666666663,690.0,d8074e044f1ff71643de5750fa3e0c3f2448bbd1,US,NY,50,Home,auto
740.38388625592415,714.11374407582935,702.696682464455,a69ef6d62d2a1e8fd387d35a8054fe97bfd2abbf,US,NY,50,Home,auto
749.12745098039215,740.0,650.0,39c64b3b1939710affa7da0200fcb0f23a8e07a4,US,OH,47,Home,auto
743.0980392156863,730.0,680.0,1e3ad80e970d3f4329bd522b1ba5b0428d8ac00c,US,OH,50,Home,auto
758.0,820.9,638.2,66d02e5e7b8dbe4ea979f7ee7c17be5569d998f2,US,OH,50,Home,auto
728.41666666666663,750.0,610.0,1bdf16a74b6e780d9487d36259f6ac606b9d024a,US,OH,47,Home,auto
695.66666666666663,719.66666666666663,661.33333333333337,e041efd2fa08c94abf2ddb9b40b25c98e2a966ca,US,OH,47,Home,auto
713.35211267605632,710.67605633802816,679.887323943662,2d7609606d53c6add8398067e193bed3213967a1,US,OK,50,Home,auto
707.5,710.5,710.5,0a0539168d37eb246885f0b325ff72b822c0940a,US,OR,50,Home,auto
756.36842105263156,779.89473684210532,779.68421052631584,8422d0ae9a9880bfc5253c6f12fca349b2b5067f,US,PA,47,Home,auto
755.07594936708858,752.3291139240506,750.0,7cfcbbda9f1178e03b8bcae8af97e2c36ebf6140,US,PA,46,Home,auto
731.55555555555554,739.72222222222217,699.27777777777783,d37faa54fc2557494914e89ad6908c0ab314b700,US,PA,50,Home,auto
726.7714285714286,719.97142857142853,680.02857142857147,849bb1f67a74a6babebaf44ec2f2e508e06dc831,US,PA,47,Home,auto
777.560606060606,820.0,620.0,a741659ff21effcdada863aa0f2147e686af1b7c,US,PA,50,Home,auto
723.81102362204729,720.0,680.0,2b535ecf0c47049dc3f64cfa8639190966d539b1,US,PA,46,Home,auto
739.26470588235293,733.06862745098044,705.87254901960785,d9c7063a1c71443c09fd63f8963de6421d71244a,US,RI,50,Home,auto
776.4848484848485,780.0,680.0,405c911cac68f9f9e3ef016b0a772ce8c4f989e0,US,TN,50,Home,auto
